"open","high","low","volume","average_volume_2_weeks","average_volume","high_52_weeks","dividend_yield","float","low_52_weeks","market_cap","pb_ratio","pe_ratio","shares_outstanding","ceo","headquarters_city","headquarters_state","sector","industry","num_employees","year_founded","symbol"
80.22,81.85,80.22,2001703,2366467.9,2366467.9,91.23,2.60703,133357184.73,56.9393,10884564600,6.63552,21.7827,134610000,"Robert C. Biesterfeld","Eden Prairie","Minnesota","Transportation","Air Freight/Couriers",15427,1905,"CHRW"
20.32,20.84,19.215,5746464,5946667.8,5946667.8,25.85,1.96754,390310945.95,13.06,7700469000,3.73689,17.8427,398575000,"Dan O. Dinges","Houston","Texas","Energy Minerals","Integrated Oil",274,1989,"COG"
85.15,89.64,84.77,2392789,2258915.5,2258915.5,89.64,NA,275105006.873,51.39,24585207220,10.998,23.9674,279187000,"Lip Bu Tan","San Jose","California","Technology Services","Packaged Software",8100,1988,"CDNS"
49.07,49.9,48.69,1985687,3208159.6,3208159.6,57.54,2.95608,192295450.11,35.27,14942412400,5.73485,28.2578,301745000,"Mark A. Clouse","Camden","New Jersey","Consumer Non-Durables","Food: Major Diversified",19000,1922,"CPB"
71.94,72.04,67.88,6160302,5477492.7,5477492.7,107.59,2.43161,450577507.86,38,31206947400,0.527176,12.9627,455310000,"Richard D. Fairbank","McLean","Virginia","Finance","Major Banks",51900,1994,"COF"
54.31,55.28,53.81,1611062,2470548.4,2470548.4,60.69,3.69506,290952661.546,39.0508,15875278820,12.7674,NA,291986000,"Michael C. Kaufmann","Dublin","Ohio","Distribution Services","Medical Distributors",49500,1971,"CAH"
90.175,90.735,88.001,2033268,1731522.1,1731522.1,103.18,NA,162163023.88,37.59,14432226600,3.86017,16.7508,162745000,"William D. Nash","Richmond","Virginia","Retail Trade","Specialty Stores",27050,1993,"KMX"
17.35,17.35,15.735,60948385,58468506.8,58468506.8,53.86,15.9872,414916212.106,7.8,10903756268.52,0.459111,6.03008,684479364,"Arnold W. Donald","Miami","Florida","Consumer Services","Hotels/Resorts/Cruise lines",NA,1972,"CCL"
20.09,20.46,19.505,8505252,9187815.8,9187815.8,20.6,NA,866053328.602,12.26,16976716400,6.26576,NA,866159000,"David L. Gitlin","Palm Beach Gardens","Florida","Producer Manufacturing","Industrial Machinery",52635,1902,"CARR"
124.51,124.83,120.28,3744066,4784630.2,4784630.2,150.55,3.50907,540168429.258,87.5,65349196860,4.48197,12.4268,541239000,"Donald James Umpleby","Deerfield","Illinois","Producer Manufacturing","Trucks/Construction/Farm Machinery",102300,1925,"CAT"
103.57,103.57,102.05,610663,669819.5,669819.5,127.93,1.40269,109128280.04,72.01,11260545434.49,3.40287,26.1781,109719823,"Edward T. Tilly","Chicago","Illinois","Finance","Investment Banks Or Brokers",823,1973,"CBOE"
45.98,45.98,43.97,2721140,2852383.2,2852383.2,64.75,NA,331240853.762,29.168,14787568040,2.40259,11.5946,335167000,"Robert E. Sulentic","Los Angeles","California","Finance","Real Estate Development",100000,1906,"CBRE"
109.67,111.655,108.393,643970,1100687.4,1100687.4,146.09,1.40728,140737273.974,73.39,15605168700,17.2753,21.0858,142318000,"Christine A. Leahy","Lincolnshire","Illinois","Technology Services","Information Technology Services",9900,1984,"CDW"
95.38,95.38,91.7,851293,1233981.9,1233981.9,128.875,2.71424,117129115.613,52.7,10917265860,4.41282,15.311,118229000,"Lori J. Ryerkerk","Irving","Texas","Process Industries","Chemicals: Major Diversified",7714,2005,"CE"
66.41,67.74,65.79,3041515,3617875.2,3617875.2,74.7,NA,566017519.44,41.6246,38743730100,1.61546,33.1099,579129000,"Michael F. Neidorff","St. Louis","Missouri","Health Services","Managed Health Care",56600,1984,"CNC"
17.75,18.118,17.545,8638885,11407373,11407373,30.71,3.43053,501418453.152,11.58,9057879140,1.68094,NA,502657000,"John W. Somerhalder","Houston","Texas","Utilities","Electric Utilities",14262,1866,"CNP"
10.27,10.29,10.04,9421993,12896811.7,12896811.7,15.3,10.0301,1089942615,8.16,11161575000,0.823428,8.8709,1097500000,"Jeffrey K. Storey","Monroe","Louisiana","Communications","Specialty Telecommunications",42500,1930,"CTL"
68.98,71.65,68.18,2428445,2116013.6,2116013.6,80.9,1.06841,303937520.152,53.08,21569213630,5.30769,41.9014,304349000,"Brent Shafer","North Kansas City","Missouri","Technology Services","Information Technology Services",27400,1979,"CERN"
30.41,30.41,29.09,1817321,3359208.8,3359208.8,55.15,4.11523,212578143.303,19.73,6251424280,2.28531,13.6735,213797000,"W. Anthony Will","Deerfield","Illinois","Process Industries","Chemicals: Agricultural",3000,1946,"CF"
37.5701,37.63,35.915,8760857,10978449.3,10978449.3,51.645,1.42977,1152283446.4,28,46359634100,2.03377,14.4629,1287410000,"Walter William Bettinger","San Francisco","California","Finance","Investment Banks/Brokers",19700,1986,"SCHW"
529.09,539.88,528.54,1562590,1091866.3,1091866.3,546.54,NA,147313150.908,345.67,110386898860,3.5528,61.652,206458000,"Thomas M. Rutledge","Stamford","Connecticut","Consumer Services","Cable/Satellite TV",95100,1993,"CHTR"
